"","catch","year","country"
"158",443849.68,1987,"ITA"
"159",439234.38,1988,"ITA"
"160",415884.3,1989,"ITA"
"161",373712.17,1990,"ITA"
"162",407574.15,1991,"ITA"
"163",396466.5,1992,"ITA"
"164",397541.4,1993,"ITA"
"165",399338.8,1994,"ITA"
"166",397297.1,1995,"ITA"
"167",367754.5,1996,"ITA"
"168",345649.6,1997,"ITA"
"169",308102.7,1998,"ITA"
"170",284795.35,1999,"ITA"
"171",304154.85,2000,"ITA"
"172",312404.7,2001,"ITA"
"173",271852.1,2002,"ITA"
"174",297700.8,2003,"ITA"
"175",288939.8,2004,"ITA"
"176",298492.1,2005,"ITA"
"177",316840.7,2006,"ITA"
"178",288048.45,2007,"ITA"
"179",237166.5,2008,"ITA"
"180",254411,2009,"ITA"
"181",8000,1950,"LAO"
"182",8000,1951,"LAO"
"183",8000,1952,"LAO"
"184",8000,1953,"LAO"
"185",10000,1954,"LAO"
"186",10000,1955,"LAO"
"187",10000,1956,"LAO"
"188",10000,1957,"LAO"
"189",12000,1958,"LAO"
"190",12000,1959,"LAO"
"191",12000,1960,"LAO"
"192",12000,1961,"LAO"
"193",15000,1962,"LAO"
"194",14984,1963,"LAO"
"195",14976,1964,"LAO"
"196",14968,1965,"LAO"
"197",17952,1966,"LAO"
"198",17928,1967,"LAO"
"199",17904,1968,"LAO"
"200",17872,1969,"LAO"
"201",19840,1970,"LAO"
"202",19784,1971,"LAO"
"203",19728,1972,"LAO"
"204",19656,1973,"LAO"
"205",19568,1974,"LAO"
"206",21464,1975,"LAO"
"207",21336,1976,"LAO"
"208",21192,1977,"LAO"
"209",21016,1978,"LAO"
"210",22816,1979,"LAO"
"211",22592,1980,"LAO"
"212",22320,1981,"LAO"
"213",22016,1982,"LAO"
"214",23672,1983,"LAO"
"215",23500,1984,"LAO"
"216",22000,1985,"LAO"
"217",21000,1986,"LAO"
"218",22000,1987,"LAO"
"219",21000,1988,"LAO"
"220",20000,1989,"LAO"
"221",18000,1990,"LAO"
"222",18500,1991,"LAO"
"223",19240,1992,"LAO"
"224",19500,1993,"LAO"
"225",23800,1994,"LAO"
"226",27370,1995,"LAO"
"227",23000,1996,"LAO"
"228",18857,1997,"LAO"
"229",19642,1998,"LAO"
"230",30041,1999,"LAO"
"231",29250,2000,"LAO"
"232",31000,2001,"LAO"
"233",33440,2002,"LAO"
"234",29800,2003,"LAO"
"235",29800,2004,"LAO"
"236",26560,2005,"LAO"
"237",26925,2006,"LAO"
"238",28410,2007,"LAO"
"239",29200,2008,"LAO"
"240",30000,2009,"LAO"
"241",10500,1950,"SDN"
"242",10500,1951,"SDN"
"243",11600,1952,"SDN"
"244",13200,1953,"SDN"
"245",13800,1954,"SDN"
"246",14500,1955,"SDN"
"247",14400,1956,"SDN"
"248",10400,1957,"SDN"
"249",19800,1958,"SDN"
"250",16800,1959,"SDN"
"251",17100,1960,"SDN"
"252",18000,1961,"SDN"
"253",19500,1962,"SDN"
"254",19900,1963,"SDN"
"255",20100,1964,"SDN"
"256",20000,1965,"SDN"
"257",20500,1966,"SDN"
"258",20500,1967,"SDN"
"259",22000,1968,"SDN"
"260",22300,1969,"SDN"
"261",22200,1970,"SDN"
"262",22200,1971,"SDN"
"263",22200,1972,"SDN"
"264",22600,1973,"SDN"
"265",22600,1974,"SDN"
"266",22600,1975,"SDN"
"267",24700,1976,"SDN"
"268",23570,1977,"SDN"
"269",26610,1978,"SDN"
"270",28520,1979,"SDN"
"271",26060,1980,"SDN"
"272",28530,1981,"SDN"
"273",29710,1982,"SDN"
"274",29500,1983,"SDN"
"275",29780,1984,"SDN"
"276",26290,1985,"SDN"
"277",23942,1986,"SDN"
"278",27200,1987,"SDN"
"279",29200,1988,"SDN"
"280",30200,1989,"SDN"
"281",31500,1990,"SDN"
"282",33113,1991,"SDN"
"283",35023,1992,"SDN"
"284",40014,1993,"SDN"
"285",44013,1994,"SDN"
"286",44003,1995,"SDN"
"287",45009.6,1996,"SDN"
"288",47010,1997,"SDN"
"289",49513,1998,"SDN"
"290",49513.5,1999,"SDN"
"291",53010,2000,"SDN"
"292",58007.5,2001,"SDN"
"293",57007.5,2002,"SDN"
"294",59007.5,2003,"SDN"
"295",63007.5,2004,"SDN"
"296",59007.5,2005,"SDN"
"297",57007.5,2006,"SDN"
"298",65516.5,2007,"SDN"
"299",68602.5,2008,"SDN"
"300",71698,2009,"SDN"
