Species,Mass_ln_g,First_appearance_mya,Last_appearance_mya,Family,Order_or_higher,Limb_morphology
Loxolophus hyattianus,7.589,64.7,63.8,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus pentacus,9.615,64.5,63.5,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus priscus,8.271,64.7,64.3,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus schizophrenus,6.78,64.4,64.1,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus spiekeri,9.816,63.8,63.2,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus stenognathus,9.401,64.5,64.5,Arctocyonidae,Condylarthra,Plantigrade
Mentoclaenodon acrogenius,10.531,60.2,57.8,Arctocyonidae,Condylarthra,Plantigrade
Mimotricentes fremontensis,7.891,60.7,57.8,Arctocyonidae,Condylarthra,Plantigrade
Mimotricentes subtrigonus,7.606,63.5,60,Arctocyonidae,Condylarthra,Plantigrade
Oxyprimus erikseni,4.874,65.4,65,Arctocyonidae,Condylarthra,Plantigrade
Prothryptacodon furens,7.212,62.4,61.7,Arctocyonidae,Condylarthra,Plantigrade
Prothryptacodon hilli,7.58,62.4,61.6,Arctocyonidae,Condylarthra,Plantigrade
Protungulatum donnae,6.269,65.7,64.6,Arctocyonidae,Condylarthra,Plantigrade
Thryptacodon antiquus,7.946,60.1,51,Arctocyonidae,Condylarthra,Plantigrade
Thryptacodon australis,7.958,60,57.1,Arctocyonidae,Condylarthra,Plantigrade
Thryptacodon barae,7.397,55.4,55.4,Arctocyonidae,Condylarthra,Plantigrade
Thryptacodon demari,7.706,60.7,57.3,Arctocyonidae,Condylarthra,Plantigrade
Thryptacodon pseudarctos,8.71,56.6,56.2,Arctocyonidae,Condylarthra,Plantigrade
Aletodon conardae,7.011,57.4,56.4,Hyopsodontidae,Condylarthra,Plantigrade
Aletodon gunnelli,7.084,57.1,55.1,Hyopsodontidae,Condylarthra,Plantigrade
Aletodon quadravus,6.492,58.4,57.8,Hyopsodontidae,Condylarthra,Plantigrade
Apheliscus chydaeus,4.203,55.3,54.4,Hyopsodontidae,Condylarthra,Plantigrade
Apheliscus nitidus,4.762,56.5,55.6,Hyopsodontidae,Condylarthra,Plantigrade
Dorraletes diminutivus,3.943,58.4,57.2,Hyopsodontidae,Condylarthra,Plantigrade
Haplaletes disceptatrix,4.873,63,59,Hyopsodontidae,Condylarthra,Plantigrade
Haplaletes pelicatus,5.339,60.2,59.4,Hyopsodontidae,Condylarthra,Plantigrade
Haplomylus bozemanensis,4.903,55.2,55,Hyopsodontidae,Condylarthra,Plantigrade
Haplomylus palustris,4.688,56.6,56.6,Hyopsodontidae,Condylarthra,Plantigrade
Haplomylus scottianus,5.193,54.5,54,Hyopsodontidae,Condylarthra,Plantigrade
Haplomylus simpsoni,5.364,57.3,55.4,Hyopsodontidae,Condylarthra,Plantigrade
Haplomylus speirianus,4.897,55.5,53.4,Hyopsodontidae,Condylarthra,Plantigrade
Haplomys galbreathi,3.663,32.8,32.8,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus fastigatus,7.054,43.3,43.2,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus lepidus,6.11,48.7,47.1,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus loomisi,5.942,55.4,53.1,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus lysitensis,6.422,55,52.2,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus mentalis,6.898,53,51,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus minor,5.491,53.8,52.4,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus minusculus,5.722,51.4,48.1,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus paulus,6.528,51.4,44,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus pauxillus,5.207,53.3,53.3,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus powellianus,7.321,55,50.6,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus simplex,6.226,55.1,53.8,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus tonksi,6.142,48.5,48.1,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus uintensis,6.806,45.1,42.1,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus walcottianus,7.99,52.6,50.7,Hyopsodontidae,Condylarthra,Plantigrade
Hyopsodus wortmani,6.31,53.4,50.2,Hyopsodontidae,Condylarthra,Plantigrade
Litaletes disjunctus,6.545,62.1,61.5,Hyopsodontidae,Condylarthra,Plantigrade
Litocherus lacunatus,4.334,62.1,57.3,Hyopsodontidae,Condylarthra,Plantigrade
Litocherus notissimus,3.62,60.1,57.5,Hyopsodontidae,Condylarthra,Plantigrade
Litocherus zygeus,4.034,58.6,57.8,Hyopsodontidae,Condylarthra,Plantigrade
Litomylus dissentaneus,5.285,63,59.5,Hyopsodontidae,Condylarthra,Plantigrade
Litomylus orthronepius,5.203,64.4,64.1,Hyopsodontidae,Condylarthra,Plantigrade
Mioclaenus turgidus,8.392,63,62.4,Hyopsodontidae,Condylarthra,Plantigrade
Phenacodaptes sabulosus,5.168,58.7,56.6,Hyopsodontidae,Condylarthra,Plantigrade
Promioclaenus acolytus,5.971,63,60,Hyopsodontidae,Condylarthra,Plantigrade
Promioclaenus lemuroides,6.601,63.3,61.5,Hyopsodontidae,Condylarthra,Plantigrade
Promioclaenus pipiringosi,6.624,60.2,59.5,Hyopsodontidae,Condylarthra,Plantigrade
Promioclaenus wilsoni,5.625,64.6,63.9,Hyopsodontidae,Condylarthra,Plantigrade
Protoselene griphus,7.39,63.3,63,Hyopsodontidae,Condylarthra,Plantigrade
Protoselene novissimus,7.298,60.2,60.1,Hyopsodontidae,Condylarthra,Plantigrade
Protoselene opisthacus,7.444,63,59.6,Hyopsodontidae,Condylarthra,Plantigrade
Tiznatzinia vanderhoofi,5.88,64.6,64.5,Hyopsodontidae,Condylarthra,Plantigrade
Oxyclaenus corax,7.134,64.2,64.1,Oxyclaenidae,Condylarthra,Plantigrade
Oxyclaenus cuspidatus,7.39,64.6,64.3,Oxyclaenidae,Condylarthra,Plantigrade
Oxyclaenus pugnax,8.555,64.1,63.4,Oxyclaenidae,Condylarthra,Plantigrade
Oxyclaenus simplex,6.743,64.6,64.3,Oxyclaenidae,Condylarthra,Plantigrade
Alticonus gazini,7.037,64.7,64.7,Periptychidae,Condylarthra,Protounguligrade
Ampliconus antoni,7.974,64.7,64.7,Periptychidae,Condylarthra,Protounguligrade
Anisonchus athelas,6.42,63.9,63.6,Periptychidae,Condylarthra,Protounguligrade
Anisonchus oligistus,5.971,64.2,63.5,Periptychidae,Condylarthra,Protounguligrade
Anisonchus onostus,6.42,63.8,63.2,Periptychidae,Condylarthra,Protounguligrade
Anisonchus sectorius,7.392,63.3,59.9,Periptychidae,Condylarthra,Protounguligrade
Conacodon cophater,5.477,64.6,64.5,Periptychidae,Condylarthra,Protounguligrade
Conacodon delphae,8.105,64.8,64.5,Periptychidae,Condylarthra,Protounguligrade
Conacodon entoconus,7.728,64.6,64.3,Periptychidae,Condylarthra,Protounguligrade
Conacodon harbourae,7.156,64.8,64.8,Periptychidae,Condylarthra,Protounguligrade
Conacodon kohlbergeri,6.418,64.6,63.6,Periptychidae,Condylarthra,Protounguligrade
Ectoconus ditrigonus,10.017,64.6,63.8,Periptychidae,Condylarthra,Protounguligrade
Ectoconus symbolus,9.557,63.9,63.6,Periptychidae,Condylarthra,Protounguligrade
Ectoganus bighornensis,10.686,55.4,55.4,Periptychidae,Condylarthra,Protounguligrade
Ectoganus gliriformis,10.844,55.9,52.7,Periptychidae,Condylarthra,Protounguligrade
Haploconus angustus,7.091,64.7,62.4,Periptychidae,Condylarthra,Protounguligrade
Haploconus elachistus,6.13,63.8,63.6,Periptychidae,Condylarthra,Protounguligrade
Hemithlaeus josephi,5.233,64.9,64.9,Periptychidae,Condylarthra,Protounguligrade
Maiorana ferrisensis,6.593,64.9,64.9,Periptychidae,Condylarthra,Protounguligrade
Mimatuta minuial,6.422,65.2,64.9,Periptychidae,Condylarthra,Protounguligrade
Mimatuta morgoth,6.249,65.4,65.1,Periptychidae,Condylarthra,Protounguligrade
Mithrandir gillianus,6.469,64.8,64.3,Periptychidae,Condylarthra,Protounguligrade
Oxyacodon agapetillus,5.196,64.8,64.1,Periptychidae,Condylarthra,Protounguligrade
Oxyacodon apiculatus,6.5,64.6,63.8,Periptychidae,Condylarthra,Protounguligrade
Oxyacodon ferronensis,5.513,64.5,63.9,Periptychidae,Condylarthra,Protounguligrade
Oxyacodon priscilla,5.965,64.7,64.5,Periptychidae,Condylarthra,Protounguligrade
Periptychus carinidens,10.238,63.3,59.6,Periptychidae,Condylarthra,Protounguligrade
Periptychus coarctatus,10.031,64.6,63.5,Periptychidae,Condylarthra,Protounguligrade
Copecion brachypternus,8.396,60.1,52.9,Phenacodontidae,Condylarthra,Protounguligrade
Copecion davisi,7.666,55.4,55.3,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion cedrus,7.811,60.1,57.2,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion collinus,8.272,61.3,57.9,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion major,9.428,57.4,57.1,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion mediotuber,8.187,58.7,56.3,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion osbornianus,8.307,57.7,53.9,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion parvus,7.587,57.3,55,Phenacodontidae,Condylarthra,Protounguligrade
Ectocion superstes,9.148,52.4,51,Phenacodontidae,Condylarthra,Protounguligrade
Meniscotherium chamense,8.876,54.6,51,Phenacodontidae,Condylarthra,Protounguligrade
Meniscotherium tapiacitum,7.354,54.7,53,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus bisonensis,9.388,61.1,59,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus grangeri,10.427,61.1,57.3,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus intermedius,10.454,56.6,51.9,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus magnus,11.104,59.2,58,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus matthewi,8.603,61.4,59,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus trilobatus,10.739,55.2,55.1,Phenacodontidae,Condylarthra,Protounguligrade
Phenacodus vortmani,9.286,57.4,50.7,Phenacodontidae,Condylarthra,Protounguligrade
Tetraclaenodon puercensis,8.936,63,60.4,Phenacodontidae,Condylarthra,Plantigrade
Arctostylops steini,5.618,56.9,55.6,Arctostylopidae,Arctostylopida,Protounguligrade
Parahyus vagus,12.166,46.8,46.3,Achaenodontidae,Artiodactyla,Unguligrade
Agriochoerus antiquus,10.766,39.4,33.7,Agriochoeridae,Artiodactyla,Unguligrade
Agriochoerus matthewi,10.276,43.4,41.5,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon pacificus,9.308,40.4,40.2,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon parvus,9.417,46,43.6,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon pearcei,10.338,40.2,40.1,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon petersoni,8.634,45.4,38.6,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon pumilus,9.789,45.4,38.3,Agriochoeridae,Artiodactyla,Unguligrade
Protoreodon walshi,9.453,43.6,40.8,Agriochoeridae,Artiodactyla,Unguligrade
Arretotherium acridens,12.216,22.7,18.4,Anthracotheriidae,Artiodactyla,Unguligrade
Arretotherium fricki,12.116,20.9,19.5,Anthracotheriidae,Artiodactyla,Unguligrade
Bothriodon rostratus,11.665,34.8,34.7,Anthracotheriidae,Artiodactyla,Unguligrade
Elomeryx armatus,12.14,33.6,30,Anthracotheriidae,Artiodactyla,Unguligrade
Heptacodon pellionis,11.328,42.9,42.7,Anthracotheriidae,Artiodactyla,Unguligrade
Auxontodon pattersoni,8.481,42.6,42.5,Antiacodontidae,Artiodactyla,Unguligrade
Antilocapra americana,10.776,0.3,-1,Antilocapridae,Artiodactyla,Unguligrade
Capromeryx furcifer,9.552,0.4,0.1,Antilocapridae,Artiodactyla,Unguligrade
Capromeryx minor,8.921,0.1,0,Antilocapridae,artiodactyla,Unguligrade
Capromeryx tauntonensis,9.998,3.3,3.2,Antilocapridae,Artiodactyla,Unguligrade
Cosoryx cerroensis,9.523,14.1,12.1,Antilocapridae,Artiodactyla,Unguligrade
Cosoryx furcatus,9.948,14.5,11,Antilocapridae,Artiodactyla,Unguligrade
Hexobelomeryx fricki,10.126,8.9,4.6,Antilocapridae,Artiodactyla,Unguligrade
Merycodus warreni,9.542,14.4,13.9,Antilocapridae,Artiodactyla,Unguligrade
Merycoides harrisonensis,11.093,26.2,21,Antilocapridae,Artiodactyla,Unguligrade
Merycoides pariogonus,10.463,27.7,26.7,Antilocapridae,Artiodactyla,Unguligrade
Ottoceros peacevalleyensis,9.778,99.4,8.4,Antilocapridae,Artiodactyla,Unguligrade
Texoceros altidens,9.994,9.2,6.6,Antilocapridae,Artiodactyla,Unguligrade
Euceratherium collinum,13.12,1.5,0,Bovidae,Artiodactyla,Unguligrade
Ovis canadensis,10.963,1.1,-1,Bovidae,Artiodactyla,Unguligrade
Aepycamelus robustus,13.03,14.4,11.7,Camelidae,Artiodactyla,Unguligrade
Aepycamelus stocki,12.93,14.5,14.5,Camelidae,Artiodactyla,Unguligrade
Aguascalientia wilsoni,9.926,17.8,17.8,Camelidae,Artiodactyla,Unguligrade
Alforjas taylori,13.229,7,6.6,Camelidae,Artiodactyla,Unguligrade
Australocamelus orarius,11.853,18.5,18.4,Camelidae,Artiodactyla,Unguligrade
Camelops sulcatus,13.811,1.2,1.2,Camelidae,Artiodactyla,Unguligrade
Camelops traviswhitei,13.971,3.6,0.9,Camelidae,Artiodactyla,Unguligrade
Delahomeryx browni,10.619,22.2,21.7,Camelidae,Artiodactyla,Unguligrade
Floridatragulus dolicanthereus,10.415,20.1,20.1,Camelidae,Artiodactyla,Unguligrade
Floridatragulus texanus,10.951,17.3,17.2,Camelidae,Artiodactyla,Unguligrade
Gentilicamelus sternbergi,10.975,27.7,27.4,Camelidae,Artiodactyla,Unguligrade
Gigantocamelus spatulus,14.137,5,1.8,Camelidae,Artiodactyla,Unguligrade
Hemiauchenia macrocephala,12.539,4.2,0,Camelidae,Artiodactyla,Unguligrade
Hemiauchenia minima,11.779,9.9,9.2,Camelidae,Artiodactyla,Unguligrade
Hemiauchenia seymourensis,12.237,1.1,0.5,Camelidae,Artiodactyla,Unguligrade
Hemiauchenia vera,12.8,9.5,5.2,Camelidae,Artiodactyla,Unguligrade
Honey_floridatraguline franki,9.965,35.8,35.7,Camelidae,Artiodactyla,Unguligrade
Megacamelus merriami,14.811,6.8,5.3,Camelidae,Artiodactyla,Unguligrade
Megatylopus cochrani,13.967,4.9,4.2,Camelidae,Artiodactyla,Unguligrade
Megatylopus matthewi,14.478,8.9,5.6,Camelidae,Artiodactyla,Unguligrade
Megatylopus primaevus,14.143,12.6,11.4,Camelidae,Artiodactyla,Unguligrade
Michenia agatensis,11.573,21.1,21,Camelidae,Artiodactyla,Unguligrade
Michenia exilis,10.819,21.8,21.4,Camelidae,Artiodactyla,Unguligrade
Miolabis fricki,12.264,16.1,15.8,Camelidae,Artiodactyla,Unguligrade
Miotylopus gibbi,10.776,30.1,24.6,Camelidae,Artiodactyla,Unguligrade
Miotylopus leonardi,10.877,26,25.6,Camelidae,Artiodactyla,Unguligrade
Miotylopus taylori,11.116,25.7,25.6,Camelidae,Artiodactyla,Unguligrade
Nothokemas floridanus,11.353,20.1,20.1,Camelidae,Artiodactyla,Unguligrade
Nothokemas waldropi,9.932,22.9,22.9,Camelidae,Artiodactyla,Unguligrade
Oxydactylus longipes,11.943,20.7,19.8,Camelidae ,Artiodactyla,Unguligrade
Palaeolama mirifica,11.883,1.4,0,Camelidae,Artiodactyla,Unguligrade
Paralabis cedrensis,10.482,31.3,31.1,Camelidae,Artiodactyla,Unguligrade
Paramiolabis taylori,11.835,15.9,15.8,Camelidae,Artiodactyla,Unguligrade
Paratylopus labiatus,10.556,34.8,33.5,Camelidae,Artiodactyla,Unguligrade
Poebrotherium eximium,10.234,36,33.9,Camelidae,Artiodactyla,Unguligrade
Poebrotherium wilsoni,10.141,36.3,33.4,Camelidae,Artiodactyla,Unguligrade
Possible_protolabine cameloides,10.999,24.5,24.4,Camelidae,Artiodactyla,Unguligrade
Priscocamelus wilsoni,11.207,22.2,21.4,Camelidae,Artiodactyla,Unguligrade
Procamelus grandis,13.301,13.7,9.4,Camelidae,Artiodactyla,Unguligrade
Procamelus occidentalis,12.37,14.3,11.9,Camelidae,Artiodactyla,Unguligrade
Protolabis coartatus,11.665,13.3,11.7,Camelidae,Artiodactyla,Unguligrade
Protolabis heterodontus,12.541,17.5,10.2,Camelidae,Artiodactyla,Unguligrade
Pseudolabis dakotensis,10.914,26.1,25.6,Camelidae,Artiodactyla,Unguligrade
Stenomylus gracilis,11.139,23.6,21.5,Camelidae,Artiodactyla,Unguligrade
Stenomylus hitchcocki,11.062,26.2,23.2,Camelidae,Artiodactyla,Unguligrade
Tanymykter brachyodontus,11.273,23.4,21.5,Camelidae,Artiodactyla,Unguligrade
Cervus elaphus,12.653,1.1,-1,Cervidae,Artiodactyla,Unguligrade
Odocoileus virginianus,11.109,2.6,-1,Cervidae,Artiodactyla,Unguligrade
Rangifer tarandus,12.038,0.1,-1,Cervidae,Artiodactyla,Unguligrade
Antiacodon pygmaeus,6.966,50.4,47.1,Dichobunidae,Artiodactyla,Unguligrade
Antiacodon venustus,8.038,48.4,46.4,Dichobunidae,Artiodactyla,Unguligrade
Bunomeryx elegans,7.97,43.5,41.5,Dichobunidae,Artiodactyla,Unguligrade
Bunomeryx montanus,7.714,44,43.5,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus etsagicus,8.978,54,51,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus grangeri,9.089,54.1,53,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus macropternus,8.567,53.2,51.9,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus pattersoni,8.09,53,52.8,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus robustus,8.149,55.1,52.7,Dichobunidae,Artiodactyla,Unguligrade
Bunophorus sinclairi,9.054,53,50,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis gracilis,6.941,54.6,54.5,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis ilicis,6.924,55.4,55.4,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis kelleyi,7.324,53.4,53.1,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis metsiacus,7.22,55,52.2,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis minutus,7.008,52.2,50.7,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis primus,7.186,55.2,54.2,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis secans,7.53,54,48.6,Dichobunidae,Artiodactyla,Unguligrade
Diacodexis woltonensis,7.24,50.9,50.7,Dichobunidae,Artiodactyla,Unguligrade
Hexacodus pelodes,7.286,52.9,50.6,Dichobunidae,Artiodactyla,Unguligrade
Homacodon vagans,8,48.4,46.3,Dichobunidae,Artiodactyla,Unguligrade
Hylomeryx annectens,8.347,44,44,Dichobunidae,Artiodactyla,Unguligrade
Hylomeryx quadricuspis,8.374,43.5,42.5,Dichobunidae,Artiodactyla,Unguligrade
Microsus cuspidatus,7.24,49.8,46.4,Dichobunidae,Artiodactyla,Unguligrade
Mytonolagus wyomingensis,4.772,42,42,Dichobunidae,Artiodactyla,Unguligrade
Mytonomeryx scotti,8.263,43.3,42.5,Dichobunidae,Artiodactyla,Unguligrade
Pentacemylus leotensis,8.757,44,41.5,Dichobunidae,Artiodactyla,Unguligrade
Pentacemylus progressus,8.567,42.6,41.5,Dichobunidae,Artiodactyla,Unguligrade
Stibarus montanus,7.507,37.1,36.3,Dichobunidae,Artiodactyla,Unguligrade
Stibarus obtusilobus,7.332,36,33.3,Dichobunidae,Artiodactyla,Unguligrade
Stibarus quadricuspis,7.435,36,33.6,Dichobunidae,Artiodactyla,Unguligrade
Stibarus yoderensis,7.78,37.5,37.4,Dichobunidae,Artiodactyla,Unguligrade
Tapochoerus egressus,9.029,41.9,41.7,Dichobunidae,Artiodactyla,Unguligrade
Archaeotherium lemleyi,13.959,32.9,32.5,Entelodontidae,Artiodactyla,Unguligrade
Archaeotherium mortoni,12.487,36.4,33.1,Entelodontidae,Artiodactyla,Unguligrade
Archaeotherium trippensis,15.048,26.2,26,Entelodontidae,Artiodactyla,Unguligrade
Brachyhyops viensis,12.264,38.3,37,Entelodontidae,Artiodactyla,Unguligrade
Brachyhyops wyomingensis,11.485,39.4,37.7,Entelodontidae,Artiodactyla,Unguligrade
Dinohyus hollandi,14.596,23.3,22,Entelodontidae,Artiodactyla,Unguligrade
Megachoerus latidens,14.466,36.7,36.7,Entelodontidae,Artiodactyla,Unguligrade
Hapalodectes anthracinus,5.123,55.3,55,Hapalodectidae,Artiodactyla,Unguligrade
Hapalodectes leptognathus,5.415,53.3,51,Hapalodectidae,Artiodactyla,Unguligrade
Achaenodon robustus,13.02,45.6,44.7,Helohyidae,Artiodactyla,Unguligrade
Helohyus milleri,10.037,47.2,46.4,Helohyidae,Artiodactyla,Unguligrade
Helohyus plicodon,9.589,48.1,46.4,Helohyidae,Artiodactyla,Unguligrade
Leptomeryx blacki,8.11,39.3,39.2,Hypertragulidae,Artiodactyla,Unguligrade
Leptomeryx evansi,8.437,37.4,30.6,Hypertragulidae,Artiodactyla,Unguligrade
Leptomeryx mammifer,9.504,37.6,35.6,Hypertragulidae,Artiodactyla,Unguligrade
Leptomeryx speciosus,8.811,37.6,33.9,Hypertragulidae,Artiodactyla,Unguligrade
Leptomeryx yoderi,8.927,37.9,37,Hypertragulidae,Artiodactyla,Unguligrade
Nanotragulus loomisi,7.522,28.8,24.7,Hypertragulidae,Artiodactyla,Unguligrade
Nanotragulus ordinatus,8.385,26.2,21.7,Hypertragulidae,Artiodactyla,Unguligrade
Parvitragulus priscus,7.1,37.9,35.7,Hypertragulidae,Artiodactyla,Unguligrade
Simimeryx hudsoni,7.844,41.1,40.2,Hypertragulidae,Artiodactyla,Unguligrade
Simimeryx minutus,7.209,39.4,39.2,Hypertragulidae,Artiodactyla,Unguligrade
Eucrotaphus trigonocephalus,10.902,29.6,26.7,Incertae sedis,Artiodactyla,Unguligrade
Laredochoerus edwardsi,8.828,44.2,44.1,Incertae sedis,Artiodactyla,Unguligrade
Laredomys riograndensis,1.782,44.2,44.1,Incertae sedis,Artiodactyla,Unguligrade
Simpsonodus chacensis,7.844,55,52.2,Incertae sedis,Artiodactyla,Unguligrade
Leptochoerus elegans,8.254,34.5,32.9,Leptochoeridae,Artiodactyla,Unguligrade
Leptochoerus spectabilis,8.397,32.8,30.4,Leptochoeridae,Artiodactyla,Unguligrade
Leptochoerus supremus,9.542,33,31.9,Leptochoeridae,Artiodactyla,Unguligrade
Hendryomeryx defordi,8.463,39.4,37.9,Leptomerycidae,Artiodactyla,Unguligrade
Hendryomeryx esulcatus,8.634,36.9,33.4,Leptomerycidae,Artiodactyla,Unguligrade
Hendryomeryx wilsoni,7.747,44.3,42,Leptomerycidae,Artiodactyla,Unguligrade
Pronodens silberlingi,9.617,29.7,29.6,Leptomerycidae,Artiodactyla,Unguligrade
Bathygenys alpha,7.939,38.7,35.6,Merycoidodontidae,Artiodactyla,Unguligrade
Bathygenys reevesi,8.201,38.1,35.7,Merycoidodontidae,Artiodactyla,Unguligrade
Brachycrus laticeps,12.467,16.2,16.2,Merycoidodontidae,Artiodactyla,Unguligrade
Brachycrus rusticus,11.295,17.6,17.5,Merycoidodontidae,Artiodactyla,Unguligrade
Brachycrus siouense,11.566,16.4,14.5,Merycoidodontidae,Artiodactyla,Unguligrade
Desmatochoerus hesperus,12.014,25.7,23.6,Merycoidodontidae,Artiodactyla,Unguligrade
Desmatochoerus megalodon,12.116,28,23.6,Merycoidodontidae,Artiodactyla,Unguligrade
Eporeodon latidens,11.898,25.7,24.3,Merycoidodontidae,Artiodactyla,Unguligrade
Eporeodon occidentalis,11.139,29.6,27.4,Merycoidodontidae,Artiodactyla,Unguligrade
Hypsiops bannackensis,11.925,23.3,23.2,Merycoidodontidae,Artiodactyla,Unguligrade
Hypsiops breviceps,11.566,29,23.2,Merycoidodontidae,Artiodactyla,Unguligrade
Leptauchenia decora,9.689,34,25.2,Merycoidodontidae,Artiodactyla,Unguligrade
Leptauchenia major,10.195,32,25.6,Merycoidodontidae,Artiodactyla,Unguligrade
