country	continent	intercept	slope
Tunisia	Africa	44.5553076923077	0.587843356643356
Turkey	Europe	46.0223205128205	0.49723986013986
Uganda	Africa	44.275217948718	0.121586013986014
United Kingdom	Europe	68.8085256410257	0.185965734265734
United States	Americas	68.4138461538462	0.184169230769231
Uruguay	Americas	65.7416025641026	0.183272027972027
Venezuela	Americas	57.5133205128205	0.329721678321678
Vietnam	Asia	39.0100769230769	0.671615384615384
West Bank and Gaza	Asia	43.7983974358975	0.601100699300699
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944
Zambia	Africa	47.6580256410256	-0.0604251748251749
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794
