quad,year,species,cover
Q11,40,Pseudoroegneria spicata,0.007182376
Q11,41,Artemisia tripartita,0.005560497
Q11,41,Hesperostipa comata,0.026373687
Q11,41,Poa secunda,0.013255113
Q11,41,Pseudoroegneria spicata,0.002189761
Q11,42,Artemisia tripartita,0.005652977
Q11,42,Hesperostipa comata,0.023419801
Q11,42,Poa secunda,0.020053053
Q11,42,Pseudoroegneria spicata,0.002662619
Q11,45,Artemisia tripartita,0.017296831
Q11,45,Hesperostipa comata,0.038751209
Q11,45,Poa secunda,0.034907275
Q11,45,Pseudoroegneria spicata,0.001383027
Q11,46,Artemisia tripartita,0.014879222
Q11,46,Hesperostipa comata,0.055113606
Q11,46,Poa secunda,0.035819606
Q11,46,Pseudoroegneria spicata,0.002031359
Q11,47,Artemisia tripartita,0.01506025
Q11,47,Hesperostipa comata,0.053672672
Q11,47,Poa secunda,0.042989523
Q11,47,Pseudoroegneria spicata,0.001488452
Q11,49,Artemisia tripartita,0.008429108
Q11,49,Hesperostipa comata,0.048289438
Q11,49,Poa secunda,0.003518701
Q11,49,Pseudoroegneria spicata,0.003624727
Q11,50,Artemisia tripartita,0.008556198
Q11,50,Hesperostipa comata,0.055731404
Q11,50,Poa secunda,0.001451139
Q11,50,Pseudoroegneria spicata,0.003796449
Q11,52,Artemisia tripartita,0.013599742
Q11,52,Hesperostipa comata,0.058451363
Q11,52,Poa secunda,0.000235783
Q11,52,Pseudoroegneria spicata,0.001200224
Q11,56,Artemisia tripartita,0.016745733
Q11,56,Hesperostipa comata,0.035244077
Q11,56,Poa secunda,0.000366688
Q11,56,Pseudoroegneria spicata,0.000772446
Q11,57,Artemisia tripartita,0.021115345
Q11,57,Hesperostipa comata,0.031231356
Q11,57,Poa secunda,0.000760332
Q11,57,Pseudoroegneria spicata,0.000533165
Q11,23,Poa secunda,0
Q11,23,Artemisia tripartita,0
Q11,23,Hesperostipa comata,0
Q11,23,Pseudoroegneria spicata,0
Q11,26,Poa secunda,0
Q11,26,Artemisia tripartita,0
Q11,26,Hesperostipa comata,0
Q11,26,Pseudoroegneria spicata,0
Q11,27,Poa secunda,0
Q11,27,Artemisia tripartita,0
Q11,27,Hesperostipa comata,0
Q11,27,Pseudoroegneria spicata,0
Q11,29,Poa secunda,0
Q11,29,Artemisia tripartita,0
Q11,29,Hesperostipa comata,0
Q11,29,Pseudoroegneria spicata,0
Q11,30,Artemisia tripartita,0.000946026
Q11,30,Hesperostipa comata,0.012679147
Q11,30,Poa secunda,0.001916842
Q11,30,Pseudoroegneria spicata,0.013355046
Q11,31,Artemisia tripartita,0.004557454
Q11,31,Hesperostipa comata,0.02024223
Q11,31,Poa secunda,0.003334182
Q11,31,Pseudoroegneria spicata,0.023219931
Q11,32,Artemisia tripartita,0.012875513
Q11,32,Hesperostipa comata,0.012011204
Q11,32,Poa secunda,0.027106832
Q11,32,Pseudoroegneria spicata,0.0286569
Q11,33,Artemisia tripartita,0.017939833
Q11,33,Hesperostipa comata,0.028511558
Q11,33,Poa secunda,0.005874367
Q11,33,Pseudoroegneria spicata,0.028097584
Q11,34,Artemisia tripartita,0.001677221
Q11,34,Hesperostipa comata,0.027095886
Q11,34,Poa secunda,0.007579471
Q11,34,Pseudoroegneria spicata,0.019892352
Q11,35,Artemisia tripartita,0.008819243
Q11,35,Hesperostipa comata,0.022960613
Q11,35,Poa secunda,0.011743514
Q11,35,Pseudoroegneria spicata,0.019042378
Q11,36,Artemisia tripartita,0.007035823
Q11,36,Hesperostipa comata,0.015346955
Q11,36,Poa secunda,0.008959025
Q11,36,Pseudoroegneria spicata,0.016691198
Q11,37,Artemisia tripartita,0.007283768
Q11,37,Hesperostipa comata,0.023074142
Q11,37,Poa secunda,0.008271562
Q11,37,Pseudoroegneria spicata,0.015333968
Q11,38,Artemisia tripartita,0.002836041
Q11,38,Hesperostipa comata,0.024290748
Q11,38,Poa secunda,0.011303529
Q11,38,Pseudoroegneria spicata,0.012819881
Q11,39,Artemisia tripartita,0.007385224
Q11,39,Hesperostipa comata,0.016115789
Q11,39,Poa secunda,0.020599464
Q11,39,Pseudoroegneria spicata,0.016802172
Q11,40,Artemisia tripartita,0.007806033
Q11,40,Hesperostipa comata,0.021789783
Q11,40,Poa secunda,0.012147265
Q11,40,Pseudoroegneria spicata,0.007182376
Q11,41,Artemisia tripartita,0.005560497
Q11,41,Hesperostipa comata,0.026373687
Q11,41,Poa secunda,0.013255113
Q11,41,Pseudoroegneria spicata,0.002189761
Q11,42,Artemisia tripartita,0.005652977
Q11,42,Hesperostipa comata,0.023419801
Q11,42,Poa secunda,0.020053053
Q11,42,Pseudoroegneria spicata,0.002662619
Q11,45,Artemisia tripartita,0.017296831
Q11,45,Hesperostipa comata,0.038751209
Q11,45,Poa secunda,0.034907275
Q11,45,Pseudoroegneria spicata,0.001383027
Q11,46,Artemisia tripartita,0.014879222
Q11,46,Hesperostipa comata,0.055113606
Q11,46,Poa secunda,0.035819606
Q11,46,Pseudoroegneria spicata,0.002031359
Q11,47,Artemisia tripartita,0.01506025
Q11,47,Hesperostipa comata,0.053672672
Q11,47,Poa secunda,0.042989523
Q11,47,Pseudoroegneria spicata,0.001488452
Q11,49,Artemisia tripartita,0.008429108
Q11,49,Hesperostipa comata,0.048289438
Q11,49,Poa secunda,0.003518701
Q11,49,Pseudoroegneria spicata,0.003624727
Q11,50,Artemisia tripartita,0.008556198
Q11,50,Hesperostipa comata,0.055731404
Q11,50,Poa secunda,0.001451139
Q11,50,Pseudoroegneria spicata,0.003796449
Q11,51,Poa secunda,0
Q11,51,Artemisia tripartita,0
Q11,51,Hesperostipa comata,0
Q11,51,Pseudoroegneria spicata,0
Q11,52,Artemisia tripartita,0.013599742
Q11,52,Hesperostipa comata,0.058451363
Q11,52,Poa secunda,0.000235783
Q11,52,Pseudoroegneria spicata,0.001200224
Q11,54,Poa secunda,0
Q11,54,Artemisia tripartita,0
Q11,54,Hesperostipa comata,0
Q11,54,Pseudoroegneria spicata,0
Q11,55,Poa secunda,0
Q11,55,Artemisia tripartita,0
Q11,55,Hesperostipa comata,0
Q11,55,Pseudoroegneria spicata,0
Q11,56,Artemisia tripartita,0.016745733
Q11,56,Hesperostipa comata,0.035244077
Q11,56,Poa secunda,0.000366688
Q11,56,Pseudoroegneria spicata,0.000772446
Q11,57,Artemisia tripartita,0.021115345
Q11,57,Hesperostipa comata,0.031231356
Q11,57,Poa secunda,0.000760332
Q11,57,Pseudoroegneria spicata,0.000533165
Q12,30,Artemisia tripartita,0.001451195
Q12,30,Poa secunda,4.68E-05
Q12,30,Pseudoroegneria spicata,0.033699436
Q12,31,Artemisia tripartita,0.002673049
Q12,31,Poa secunda,0.000221737
Q12,31,Pseudoroegneria spicata,0.051965149
Q12,32,Pseudoroegneria spicata,0.042803447
Q12,33,Artemisia tripartita,0.004571446
Q12,33,Pseudoroegneria spicata,0.045100785
Q12,34,Artemisia tripartita,0.001774106
Q12,34,Poa secunda,2.50E-05
Q12,34,Pseudoroegneria spicata,0.030753964
Q12,35,Artemisia tripartita,0.009042037
Q12,35,Hesperostipa comata,2.50E-05
Q12,35,Poa secunda,0.000591056
Q12,35,Pseudoroegneria spicata,0.028873722
Q12,36,Artemisia tripartita,0.007375337
Q12,36,Poa secunda,0.00041867
Q12,36,Pseudoroegneria spicata,0.023023593
Q12,37,Artemisia tripartita,0.004387383
Q12,37,Poa secunda,0.00092697
Q12,37,Pseudoroegneria spicata,0.026662863
Q12,38,Artemisia tripartita,0.007068795
Q12,38,Poa secunda,0.000372314
Q12,38,Pseudoroegneria spicata,0.033395651
Q12,39,Artemisia tripartita,0.000170113
Q12,39,Poa secunda,0.000646361
Q12,39,Pseudoroegneria spicata,0.032486818
Q12,40,Artemisia tripartita,0.008803584
Q12,40,Poa secunda,0.000893966
Q12,40,Pseudoroegneria spicata,0.031413918
Q12,41,Artemisia tripartita,0.005646772
Q12,41,Poa secunda,0.002854803
Q12,41,Pseudoroegneria spicata,0.025463794
Q12,45,Artemisia tripartita,0.007523629
Q12,45,Poa secunda,0.017580161
Q12,45,Pseudoroegneria spicata,0.026412631
Q12,46,Artemisia tripartita,0.010174641
Q12,46,Poa secunda,0.012504267
Q12,46,Pseudoroegneria spicata,0.039074007
Q12,47,Artemisia tripartita,0.006664727
Q12,47,Hesperostipa comata,0.000116181
Q12,47,Poa secunda,0.0130251
Q12,47,Pseudoroegneria spicata,0.031997898
Q12,49,Artemisia tripartita,0.032226257
Q12,49,Hesperostipa comata,5.00E-05
Q12,49,Poa secunda,0.000873965
Q12,49,Pseudoroegneria spicata,0.034513631
Q12,50,Artemisia tripartita,0.033322013
Q12,50,Poa secunda,0.001292349
Q12,50,Pseudoroegneria spicata,0.030595654
Q12,51,Artemisia tripartita,0.028550802
Q12,51,Poa secunda,0.002971171
Q12,51,Pseudoroegneria spicata,0.03805278
Q12,52,Artemisia tripartita,0.044424063
Q12,52,Hesperostipa comata,0.000193785
Q12,52,Poa secunda,0.004794037
Q12,52,Pseudoroegneria spicata,0.05204748
Q12,54,Artemisia tripartita,0.033819886
Q12,54,Poa secunda,0.003015339
Q12,54,Pseudoroegneria spicata,0.033718068
Q12,55,Artemisia tripartita,0.043178225
Q12,55,Poa secunda,0.002576131
Q12,55,Pseudoroegneria spicata,0.036600294
Q12,56,Poa secunda,0.000278609
Q12,56,Pseudoroegneria spicata,0.035662351
Q12,57,Artemisia tripartita,0.019583014
Q12,57,Poa secunda,0.000863834
Q12,57,Pseudoroegneria spicata,0.02868334
Q12,23,Poa secunda,0
Q12,23,Artemisia tripartita,0
Q12,23,Hesperostipa comata,0
Q12,23,Pseudoroegneria spicata,0
Q12,26,Poa secunda,0
Q12,26,Artemisia tripartita,0
Q12,26,Hesperostipa comata,0
Q12,26,Pseudoroegneria spicata,0
Q12,27,Poa secunda,0
Q12,27,Artemisia tripartita,0
Q12,27,Hesperostipa comata,0
Q12,27,Pseudoroegneria spicata,0
Q12,29,Poa secunda,0
Q12,29,Artemisia tripartita,0
