Site,Spp,Site_code,Species,Tree,Tree_ID,Branch,Branch_ID,Diameter,Length,Wood_Wet_wt ,Wood_ratio,wood_dry_wt,Leaf_Wet_wt,Leaf_ratio,Leaf_dry_wt,Aggregated_Wood_Wt,Aggregated_Leaf_Wt,Total_Mass,Light,Light_SD,Fire,MAP,Lat
Tiendega,Detarium microcarpum,1,1,4,fh2,,S-C,0.6,98.5,24,0.527208188,12.65299651,21,0.451558036,9.482718756,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,,S-D,0.9,109.2,29,0.527208188,15.28903744,41,0.451558036,18.51387948,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,,S-E,1.1,128.7,84,0.527208188,44.28548777,113,0.451558036,51.02605807,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,5,Fh20,1,A2,2.4,113.9,250,0.527208188,131.8020469,220,0.451558036,99.34276792,131.8020469,99.34276792,231.1448149,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,5,Fh20,2,A1,3.7,207.9,990,0.527208188,521.9361059,432,0.451558036,195.0730716,653.7381528,294.4158395,948.1539923,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,5,Fh20,3,MS,8.4,641.6,15250,0.527208188,8039.924863,1486,0.451558036,671.0152415,8825.465063,1064.773849,9890.238912,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,1,A2,2.5,100.8,250,0.527208188,131.8020469,64,0.451558036,28.8997143,131.8020469,28.8997143,160.7017612,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,2,A3-1,2.3,73.3,160,0.527208188,84.35331004,66,0.451558036,29.80283038,84.35331004,29.80283038,114.1561404,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,3,A3,7.3,248.6,2600,0.527208188,1370.741288,628,0.451558036,283.5784466,1455.094598,313.381277,1768.475875,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,4,A4-1,2.6,81.1,190,0.527208188,100.1695557,88,0.451558036,39.73710717,100.1695557,39.73710717,139.9066628,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,5,A4-2,3.9,65.4,225,0.527208188,118.6218422,120,0.451558036,54.18696432,118.6218422,54.18696432,172.8088066,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,6,A4-3,3.4,135.6,700,0.527208188,369.0457314,434,0.451558036,195.9761876,369.0457314,195.9761876,565.021919,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,7,A4-4,2.5,100.4,410,0.527208188,216.155357,351,0.451558036,158.4968706,216.155357,158.4968706,374.6522276,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,8,A4,6.6,287.1,4625,0.527208188,2438.337868,743,0.451558036,335.5076207,3242.330355,783.9047505,4026.235105,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,9,A5,3.2,156.9,1050,0.527208188,553.5685971,403,0.451558036,181.9778885,553.5685971,181.9778885,735.5464856,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,10,A6,2.8,102.5,425,0.527208188,224.0634798,269,0.451558036,121.4691117,224.0634798,121.4691117,345.5325915,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,11,A7,2.6,144.9,490,0.527208188,258.332012,281,0.451558036,126.8878081,258.332012,126.8878081,385.2198201,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,12,A1,11.8,504.3,19500,0.527208188,10280.55966,748,0.451558036,337.7654109,16145.75075,1894.285961,18040.03671,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,13,B2,4.7,142.4,1050,0.527208188,553.5685971,48,0.451558036,21.67478573,553.5685971,21.67478573,575.2433828,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,14,B3,4.3,162.5,960,0.527208188,506.1198602,488,0.451558036,220.3603216,506.1198602,220.3603216,726.4801818,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,15,B4,3.6,142.4,1260,0.527208188,664.2823165,682,0.451558036,307.9625806,664.2823165,307.9625806,972.2448971,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,16,B5,2.8,86.4,200,0.527208188,105.4416375,44,0.451558036,19.86855358,105.4416375,19.86855358,125.3101911,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,17,B1,7.7,306.9,7000,0.527208188,3690.457314,512,0.451558036,231.1977144,5519.869726,801.0639559,6320.933681,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,18,C1,2.3,121.9,350,0.527208188,184.5228657,240,0.451558036,108.3739286,184.5228657,108.3739286,292.8967943,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,19,D1,4.9,176.3,1060,0.527208188,558.840679,457,0.451558036,206.3620225,558.840679,206.3620225,765.2027015,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,20,E1,3.4,174.3,1125,0.527208188,593.1092112,494,0.451558036,223.0696698,593.1092112,223.0696698,816.178881,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,21,F1,2.4,106.1,350,0.527208188,184.5228657,212,0.451558036,95.73030363,184.5228657,95.73030363,280.2531693,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,22,G1,3.9,145.4,740,0.527208188,390.1340589,367,0.451558036,165.7217992,390.1340589,165.7217992,555.8558581,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,6,fH7,23,MS,14.9,640.5,44750,0.527208188,23592.5664,1002,0.451558036,452.4611521,55752.26585,6551.655544,62303.9214,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,7,fH10,1,A1,3.6,235.4,1140,0.527208188,601.017334,505,0.451558036,228.0368082,601.017334,228.0368082,829.0541422,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,7,fH10,2,B1,3.2,148.2,275,0.527208188,144.9822516,223,0.451558036,100.697442,144.9822516,100.697442,245.6796937,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,7,fH10,3,C1,2.4,134.1,360,0.527208188,189.7949476,317,0.451558036,143.1438974,189.7949476,143.1438974,332.938845,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,7,fH10,4,MS,6.4,359.4,4175,0.527208188,2201.094184,516,0.451558036,233.0039466,3136.888717,704.8820942,3841.770811,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,1,A2-1,3.6,214.9,1400,0.527208188,738.0914628,479,0.451558036,216.2962992,738.0914628,216.2962992,954.3877621,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,2,A2,5.6,350.6,5250,0.527208188,2767.842986,740,0.451558036,334.1529466,3505.934448,550.4492459,4056.383694,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,3,A3,3.9,131.2,840,0.527208188,442.8548777,203,0.451558036,91.66628131,1217.850914,298.9314198,1516.782333,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,4,A3-1,3.4,163.5,1190,0.527208188,627.3777434,315,0.451558036,142.2407813,627.3777434,142.2407813,769.6185247,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,5,A3-2,2.1,114.2,280,0.527208188,147.6182926,144,0.451558036,65.02435718,147.6182926,65.02435718,212.6426497,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,6,A4,2.9,148.2,790,0.527208188,416.4944683,7666,0.451558036,3461.643904,416.4944683,3461.643904,3878.138372,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,7,A1,8.9,456.7,12750,0.527208188,6721.904394,552,0.451558036,249.2600359,11862.18422,4560.284606,16422.46883,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,8,B1,4.7,310.8,3650,0.527208188,1924.309885,526,0.451558036,237.5195269,1924.309885,237.5195269,2161.829412,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,9,C1,4.5,195.5,1810,0.527208188,954.2468198,317,0.451558036,143.1438974,1402.373779,240.6804332,1643.054213,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,10,C2,3.8,165.3,850,0.527208188,448.1269596,216,0.451558036,97.53653578,448.1269596,97.53653578,545.6634953,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,11,D2,2.9,123.8,890,0.527208188,469.2152871,234,0.451558036,105.6645804,469.2152871,105.6645804,574.8798675,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,12,D1,4.9,280.1,4140,0.527208188,2182.641897,380,0.451558036,171.5920537,2651.857184,277.2566341,2929.113818,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,13,E1,4.4,225.1,2075,0.527208188,1093.95699,318,0.451558036,143.5954554,1194.126545,177.9138662,1372.040411,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,14,E2,2.3,83.5,190,0.527208188,100.1695557,76,0.451558036,34.31841074,100.1695557,34.31841074,134.4879664,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,15,F1,2.3,74.4,225,0.527208188,118.6218422,95,0.451558036,42.89801342,118.6218422,42.89801342,161.5198557,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,16,G1,2.4,116.3,610,0.527208188,321.5969945,181,0.451558036,81.73200452,321.5969945,81.73200452,403.328999,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,17,H1,2.4,123,450,0.527208188,237.2436845,185,0.451558036,83.53823666,237.2436845,83.53823666,320.7819211,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,8,FH10,18,MS,18.4,726.1,54750,0.527208188,28864.64828,813,0.451558036,367.1166833,60320.5248,12217.80578,72538.33058,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,9,FH7,1,MS,4.1,229.8,1650,0.527208188,869.8935098,527,0.451558036,237.971085,869.8935098,237.971085,1107.864595,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,9,FH7,,S-A,0.8,94.3,25,0.527208188,13.18020469,31,0.451558036,13.99829912,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,1,A2-1-1,2.1,83.6,160,0.527208188,84.35331004,162,0.451558036,73.15240183,84.35331004,73.15240183,157.5057119,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,2,A2-1,4.4,320.7,3325,0.527208188,1752.967224,674,0.451558036,304.3501163,1837.320534,377.5025181,2214.823052,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,3,A2-2,2.8,127.8,475,0.527208188,250.4238892,369,0.451558036,166.6249153,250.4238892,166.6249153,417.0488045,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,4,A2-3,2.4,121.3,580,0.527208188,305.7807489,441,0.451558036,199.1370939,305.7807489,199.1370939,504.9178428,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,5,A2-4,2,142.2,290,0.527208188,152.8903744,248,0.451558036,111.9863929,152.8903744,111.9863929,264.8767674,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,6,A2,6.5,433.2,7000,0.527208188,3690.457314,722,0.451558036,326.024902,6236.872861,1181.275822,7418.148683,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,7,A3-1,2.5,136.2,740,0.527208188,390.1340589,497,0.451558036,224.4243439,390.1340589,224.4243439,614.5584028,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,8,A3,4.3,296.6,2950,0.527208188,1555.264154,996,0.451558036,449.7518039,1945.398213,674.1761477,2619.57436,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,9,A4,3.6,203.6,1540,0.527208188,811.9006091,718,0.451558036,324.2186698,811.9006091,324.2186698,1136.119279,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,10,A5,2.5,64.9,260,0.527208188,137.0741288,45,0.451558036,20.32011162,137.0741288,20.32011162,157.3942404,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,11,A1,10.6,425.7,9000,0.527208188,4744.87369,466,0.451558036,210.4260448,13876.1195,2410.416796,16286.5363,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,12,B2,2.6,122.5,675,0.527208188,355.8655267,375,0.451558036,169.3342635,355.8655267,169.3342635,525.1997902,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,13,B1,5.3,226.7,2240,0.527208188,1180.946341,323,0.451558036,145.8532456,1536.811867,315.1875091,1851.999376,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,14,C2-1,2.5,128.2,610,0.527208188,321.5969945,316,0.451558036,142.6923394,321.5969945,142.6923394,464.2893339,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,15,C2,3.7,215.6,1640,0.527208188,864.6214279,296,0.451558036,133.6611787,1186.218422,276.353518,1462.57194,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,16,C3-1,2.7,101.3,320,0.527208188,168.7066201,256,0.451558036,115.5988572,168.7066201,115.5988572,284.3054773,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,17,C3,3.1,200.2,1190,0.527208188,627.3777434,371,0.451558036,167.5280314,796.0843635,283.1268886,1079.211252,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,18,C4,2.9,163.7,910,0.527208188,479.7594508,458,0.451558036,206.8135805,479.7594508,206.8135805,686.5730313,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,19,C1,5.8,325.9,5000,0.527208188,2636.040939,679,0.451558036,306.6079064,5098.103175,1072.901894,6171.005069,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,20,D3-1,2.1,108.3,390,0.527208188,205.6111932,312,0.451558036,140.8861072,205.6111932,140.8861072,346.4973004,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,21,D2,3.2,168.7,940,0.527208188,495.5756965,412,0.451558036,186.0419108,495.5756965,186.0419108,681.6176073,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,22,D3,2.4,117.7,410,0.527208188,216.155357,302,0.451558036,136.3705269,421.7665502,277.2566341,699.0231843,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,23,D1,4.6,282.9,2840,0.527208188,1497.271253,670,0.451558036,302.5438841,2414.6135,765.8424291,3180.455929,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,24,E2,2.1,32.9,150,0.527208188,79.08122816,110,0.451558036,49.67138396,79.08122816,49.67138396,128.7526121,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,25,E3,2.3,10.6,40,0.527208188,21.08832751,55,0.451558036,24.83569198,21.08832751,24.83569198,45.92401949,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,26,E1,2.8,166.5,825,0.527208188,434.9467549,346,0.451558036,156.2390805,535.1163106,230.7461564,765.8624669,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,27,F2,2.3,114.3,510,0.527208188,268.8761757,352,0.451558036,158.9484287,268.8761757,158.9484287,427.8246044,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,28,F1,3.2,129.7,850,0.527208188,448.1269596,470,0.451558036,212.2322769,717.0031353,371.1807056,1088.183841,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,10,fh15,29,MS,15.6,638.4,45750,0.527208188,24119.77459,708,0.451558036,319.7030895,65249.92135,10870.3566,76120.27796,-0.414812343,0.067897601,0.35,1400,11.039483
Tiorola,Combretum geitynophyllum,2,2,1,FH6,1,A1,6.2,397.1,5325,0.621545625,3309.730451,920,0.392,360.64,5205.444606,1105.44,6310.884606,-0.5205682,0.034601183,0.5,1200,11.60585
Tiorola,Combretum geitynophyllum,2,2,1,FH6,2,A2,3,129.2,825,0.621545625,512.7751403,400,0.392,156.8,512.7751403,156.8,669.5751403,-0.5205682,0.034601183,0.5,1200,11.60585
