Participant,Condition Name,Condition Number,Age,IQ,Estimated Speed (mph),Reaction Time (ms)
138,Contact,1,50,93,36.25447477,368.3079325
139,Contact,1,34,71,35.96615013,280.0898558
140,Contact,1,77,128,40.37701362,0.89368621
141,Contact,1,44,108,34.23360993,-20.44040499
142,Contact,1,6,104,48.3453299,265.9450893
143,Contact,1,60,102,23.29927257,268.5181963
144,Contact,1,57,103,31.10950523,498.1760319
145,Contact,1,51,98,35.27525787,283.7666488
146,Contact,1,37,113,24.83986639,434.2207449
147,Contact,1,30,87,30.7274406,437.2291272
148,Contact,1,62,91,31.84810636,203.8617562
149,Contact,1,46,97,36.55979904,348.3185203
150,Contact,1,44,77,30.29376732,486.4697303
151,Contact,1,32,70,25.73864326,248.6773505
152,Contact,1,65,89,36.39226917,271.3649017
153,Contact,1,31,122,19.87839882,369.3663342
154,Contact,1,48,103,38.55875071,425.6626269
155,Contact,1,57,125,25.93730216,331.6453493
156,Contact,1,35,96,21.56420693,198.3827241
157,Contact,1,28,113,36.90211612,502.5146253
158,Contact,1,31,98,11.89309106,202.9600357
159,Contact,1,38,101,29.91535329,350.9183105
160,Contact,1,29,89,27.33127827,213.1037832
161,Contact,1,52,82,21.4071107,308.7633664
162,Contact,1,48,122,18.74433828,170.5736944
163,Contact,1,48,106,15.94326698,498.4285496
164,Contact,1,49,108,29.48716361,409.2122964
165,Contact,1,53,111,20.74129666,396.3416376
166,Contact,1,30,91,44.88208226,323.922659
167,Contact,1,29,94,27.39388591,21.63472777
168,Contact,1,56,133,30.80372978,492.2180357
169,Contact,1,65,105,16.92922832,216.0383545
170,Contact,1,58,101,28.464976,514.4710536
171,Contact,1,6,91,30.03325572,76.72927209
172,Contact,1,47,99,46.21659104,230.9396706
173,Contact,1,48,77,24.6978832,507.9239973
174,Contact,1,32,114,13.10032123,369.1593929
175,Contact,1,16,87,37.83982893,303.9808104
176,Contact,1,17,109,23.22873503,211.232934
177,Contact,1,60,102,24.10988204,78.62040134
178,Contact,1,73,117,47.73061169,484.4028563
179,Contact,1,47,95,39.52356562,270.5141679
180,Contact,1,38,87,37.69946868,194.7113009
181,Contact,1,59,101,36.17195817,287.2666444
182,Contact,1,27,92,36.89216176,448.3477203
183,Contact,1,52,108,22.76803445,315.8666102
184,Contact,1,37,101,39.82516933,243.9972146
185,Contact,1,26,99,47.22637276,242.469913
186,Contact,1,56,108,20.84150691,504.9724585
187,Contact,1,32,117,25.45736691,105.7467629
188,Contact,1,44,115,39.10208375,510.3400264
189,Contact,1,23,111,22.69597459,169.1233515
190,Contact,1,46,104,32.65114091,410.0614898
191,Contact,1,19,105,22.95207461,130.1750484
192,Contact,1,24,88,28.96716761,293.3001438
193,Contact,1,15,77,27.27737902,124.1478718
194,Contact,1,35,131,40.63319753,353.0303792
195,Contact,1,15,101,27.70096546,327.141799
196,Contact,1,16,103,26.7285937,248.149963
197,Contact,1,60,93,35.98490029,543.4152224
198,Contact,1,49,79,19.93295838,445.5746398
199,Contact,1,24,118,18.60324135,380.1114077
200,Contact,1,23,114,30.19518777,106.700654
201,Contact,1,25,121,29.51139244,-99.71712788
202,Contact,1,32,106,24.13822698,314.2070618
203,Contact,1,40,122,38.92317342,377.0531762
204,Contact,1,36,84,40.97123488,291.1843461
205,Contact,1,60,112,18.36810737,23.55800572
206,Contact,1,39,99,44.18915188,367.2370057
207,Contact,1,30,72,33.93337677,278.6888839
208,Contact,1,56,101,32.64523395,171.9524896
209,Contact,1,18,99,43.60533011,285.6542474
210,Contact,1,29,81,39.65694945,579.2091453
211,Contact,1,53,91,24.29432887,279.5428221
212,Contact,1,34,139,45.55653992,287.8677202
213,Contact,1,61,98,29.33797198,58.41230238
214,Contact,1,54,86,22.69116067,188.5370585
215,Contact,1,54,100,28.2419169,459.7493351
216,Contact,1,68,111,32.81136204,425.3573233
217,Contact,1,54,99,48.67083469,341.0612701
218,Contact,1,50,109,31.28276204,299.9420476
219,Contact,1,45,85,35.65077413,331.3375536
220,Contact,1,19,100,5.50314972,274.5244001
221,Contact,1,66,124,34.56415756,90.27239923
222,Contact,1,48,92,34.24622757,341.7491211
223,Contact,1,46,122,9.30933442,431.5687387
224,Contact,1,42,86,40.72921538,366.9093303
225,Contact,1,18,112,21.90134866,345.9766164
226,Contact,1,32,92,17.58842658,170.0817076
227,Contact,1,38,77,46.24978084,306.1529796
228,Contact,1,34,112,29.00598612,241.0609843
229,Contact,1,49,104,45.08446922,275.0561965
230,Contact,1,21,81,28.53335476,606.0453134
231,Contact,1,50,119,30.70898298,259.5639364
232,Contact,1,60,93,29.39371027,172.2023798
233,Contact,1,51,113,50.94916626,230.5029803
234,Contact,1,54,117,40.33068574,212.9623759
235,Contact,1,60,115,34.25988144,383.6584059
236,Contact,1,50,86,23.79417972,210.4638402
237,Contact,1,42,146,42.80949611,260.3334837
238,Contact,1,34,71,37.60396593,392.1489857
239,Contact,1,32,97,31.15366736,113.593695
240,Contact,1,34,106,27.46421661,422.4139369
241,Contact,1,59,79,33.86324646,368.9866923
242,Contact,1,34,93,7.32909432,200.9194139
243,Contact,1,36,90,35.68868778,329.7887299
244,Contact,1,21,93,33.88155938,285.98956
245,Contact,1,67,84,31.18604255,277.7884834
246,Contact,1,20,103,22.17902991,191.5732425
247,Contact,1,37,79,27.1113898,85.24495452
248,Contact,1,37,118,33.93594822,319.4725695
249,Contact,1,33,98,32.34052302,236.918228
250,Contact,1,61,116,36.62200789,408.9158815
251,Contact,1,24,80,34.41707152,465.1688304
252,Contact,1,47,95,32.02835178,355.7923264
253,Contact,1,36,114,34.24964091,269.0386739
254,Contact,1,57,135,41.02679668,260.4416784
255,Contact,1,49,84,39.06986007,346.2967046
256,Contact,1,56,93,25.46202461,348.7831308
257,Contact,1,17,102,29.81019425,380.4409392
258,Contact,1,64,127,38.98345286,496.4751323
259,Contact,1,67,111,16.73940264,157.7558017
260,Contact,1,51,117,33.38833023,228.1305378
261,Contact,1,58,134,31.96586329,297.9460209
262,Contact,1,40,90,32.90434929,105.9733744
263,Contact,1,72,100,40.84439338,239.5013328
264,Contact,1,36,123,33.68353127,293.3016575
265,Contact,1,30,92,23.01506147,284.0046291
266,Contact,1,68,106,33.11884153,248.9572149
267,Contact,1,3,113,23.28931747,214.6099987
268,Contact,1,11,97,40.43298848,27.41077112
269,Contact,1,69,102,27.4470924,555.7389669
270,Contact,1,57,89,47.74555533,184.0385658
271,Contact,1,27,115,12.69780003,233.6004627
272,Contact,1,36,101,25.40150251,107.8997267
273,Contact,1,17,105,16.80744513,243.3237605
274,Contact,1,23,67,46.10497518,30.3606828
275,Contact,1,42,89,39.71783011,436.7678569
276,Contact,1,48,80,29.90805469,677.4092619
277,Contact,1,65,107,47.92750303,3.86486932
278,Contact,1,74,94,39.64264698,299.5761958
279,Contact,1,25,99,41.36550962,328.2951103
280,Contact,1,26,77,31.00350681,128.9356498
281,Contact,1,52,86,31.23144192,262.3339456
282,Contact,1,31,87,36.43626002,656.8038851
283,Contact,1,40,100,30.17470153,332.1979993
284,Contact,1,80,97,41.60243365,295.9630777
285,Contact,1,57,88,35.66699286,73.6395507
286,Contact,1,35,128,37.22158237,279.0112318
287,Contact,1,46,91,34.32492478,172.3953242
288,Contact,1,49,97,28.07382051,259.5102302
289,Contact,1,49,108,33.86504163,482.9059369
290,Contact,1,60,96,24.08908778,391.6243112
291,Contact,1,17,93,12.71030988,512.2880137
292,Contact,1,69,74,23.13521049,358.8535054
293,Contact,1,60,116,29.07971141,194.1302617
294,Contact,1,36,85,34.81768673,639.3749838
295,Contact,1,22,91,19.91843771,-36.74002774
296,Contact,1,44,119,46.67870075,369.0310696
297,Contact,1,52,98,7.26391408,296.8933472
298,Contact,1,37,85,37.77430868,165.9516454
299,Contact,1,1,91,37.85307019,187.2925949
300,Contact,1,41,55,34.47485267,71.85932053
301,Contact,1,34,84,25.59145723,301.7213505
302,Contact,1,30,100,33.25799414,399.4428053
303,Contact,1,63,100,21.4350996,365.9252965
304,Contact,1,33,81,50.6441194,233.8006257
305,Contact,1,56,109,17.10214012,200.0936572
306,Contact,1,44,97,29.59130623,458.3365402
307,Contact,1,52,101,50.32262474,267.9330323
308,Contact,1,51,84,26.70646437,223.7189323
309,Contact,1,43,99,34.63460133,352.8711009
310,Contact,1,42,91,21.12659455,251.4115432
311,Contact,1,55,93,26.26231187,244.3458474
312,Contact,1,81,108,19.78456769,240.3345104
313,Contact,1,11,99,22.37149902,510.4226777
314,Contact,1,60,92,33.95419391,301.9520002
315,Contact,1,47,110,9.51006406,346.9323483
316,Contact,1,69,104,22.09216236,450.2087215
317,Contact,1,33,79,41.69265514,97.56416015
318,Contact,1,48,103,29.92244035,272.9846169
319,Contact,1,52,99,18.32550456,503.2181931
320,Contact,1,62,98,36.06731052,422.2297545
321,Contact,1,42,84,39.64722306,311.0220657
322,Contact,1,30,108,34.12909935,273.960004
323,Contact,1,34,110,32.09047859,4.65451537
324,Contact,1,26,91,18.27629754,396.9870502
325,Contact,1,58,77,20.21471758,529.9039277
326,Contact,1,66,111,32.14901324,309.2067971
327,Contact,1,53,106,28.40028909,478.2981059
328,Contact,1,45,123,30.94601095,373.4753077
329,Contact,1,19,71,25.30510575,217.0159095
330,Contact,1,52,111,28.86539408,541.0675982
331,Contact,1,30,90,23.41312307,189.5062301
332,Contact,1,11,96,41.35017826,364.2599513
333,Contact,1,64,105,13.59899783,164.6542169
334,Contact,1,17,78,28.32727228,267.9406668
335,Contact,1,63,137,56.7785034,310.0550689
336,Contact,1,47,93,31.87013478,265.6139049
337,Contact,1,28,93,23.85825035,330.0097477
338,Contact,1,61,105,23.15594344,272.8277274
339,Contact,1,46,108,33.49120061,291.0670361
340,Contact,1,43,85,35.44656192,382.7300577
341,Contact,1,56,106,21.53972366,369.6416115
342,Contact,1,57,89,32.93443366,273.070837
343,Contact,1,62,117,36.52192288,320.9538065
344,Contact,1,65,88,44.06079,633.9701234
345,Contact,1,23,121,13.46078472,299.3523467
346,Contact,1,29,122,25.65234087,358.2172209
347,Contact,1,27,126,8.97487756,425.1297395
348,Contact,1,70,74,23.58739017,202.6932289
349,Contact,1,37,105,53.93062651,163.623757
350,Contact,1,54,79,35.48199393,395.1539703
351,Contact,1,55,106,12.77259026,640.520787
352,Contact,1,10,106,38.4381625,375.9236288
353,Contact,1,48,113,23.84092866,157.5095607
354,Contact,1,56,82,24.42861173,247.6688717
355,Contact,1,32,111,41.67297755,328.9866464
356,Contact,1,52,78,41.84769356,202.9553713
357,Contact,1,25,101,12.25282217,297.7604447
358,Contact,1,17,101,33.63027537,231.9126997
359,Contact,1,76,108,29.0170522,158.3435801
360,Contact,1,35,99,14.52899414,551.2609895
361,Contact,1,51,103,26.03737863,423.0478031
362,Contact,1,44,99,35.12724739,171.2497083
363,Contact,1,23,102,13.74135298,337.4783241
364,Contact,1,37,77,22.10761883,286.7814237
365,Contact,1,50,109,33.94830602,140.0650998
366,Contact,1,34,124,34.14708999,368.190147
367,Contact,1,32,117,39.01064988,290.8324778
368,Contact,1,49,105,53.11865909,187.5261055
369,Contact,1,57,102,24.55623368,395.3239747
370,Contact,1,36,107,32.31567428,320.588162
371,Contact,1,73,116,15.51044225,369.7732544
372,Contact,1,40,105,56.43021396,217.0186917
373,Contact,1,60,114,10.75122853,355.773042
374,Contact,1,45,93,19.54561122,367.9331365
375,Contact,1,36,94,46.44539094,419.4490641
376,Contact,1,54,58,37.0510834,212.4228426
377,Contact,1,25,79,33.74652413,163.520971
378,Contact,1,51,97,26.57259367,85.85479478
379,Contact,1,46,82,45.95787094,557.2240832
380,Contact,1,19,94,33.06727331,265.6564359
381,Contact,1,45,148,36.87297571,221.0308637
382,Contact,1,56,92,44.39892425,257.7500924
383,Contact,1,55,96,27.2730846,358.5923278
384,Contact,1,39,98,25.25043526,29.62118231
385,Contact,1,41,97,36.17094545,393.6141169
386,Contact,1,30,80,34.59001404,110.8699289
387,Contact,1,36,104,32.1867146,279.9160195
388,Contact,1,59,108,27.28092351,90.21626032
389,Contact,1,10,103,13.17208731,307.9763895
390,Contact,1,67,135,38.84154637,460.1733328
391,Contact,1,59,94,41.8501554,295.5960906
392,Contact,1,43,102,27.13311714,261.6995
393,Contact,1,30,96,35.52955326,405.4177273
394,Contact,1,22,103,47.2453409,497.5709673
395,Contact,1,60,80,44.75980609,458.4589036
396,Contact,1,23,85,31.2205977,245.0245591
397,Contact,1,17,122,38.13086011,242.228741
398,Contact,1,56,105,42.00605092,280.2843305
399,Contact,1,51,127,33.61849638,238.2815921
400,Contact,1,43,82,33.63668529,-63.05759405
401,Contact,1,23,88,29.04888129,141.2020419
402,Contact,1,56,69,23.36394154,350.0273903
403,Contact,1,44,107,33.19974793,383.8715141
404,Contact,1,9,101,32.1643447,70.15393146
405,Contact,1,21,108,24.260884,430.4924622
406,Contact,1,47,112,22.57895292,368.1691374
407,Contact,1,36,103,21.24901271,298.0741428
408,Contact,1,56,134,34.57591154,249.4855881
409,Contact,1,57,129,15.37543885,255.9179089
410,Contact,1,34,120,39.79931211,411.6016117
411,Contact,1,25,91,37.7888992,240.6657815
412,Contact,1,23,96,34.60481447,284.3514813
413,Contact,1,30,87,30.43316349,512.4519573
414,Contact,1,42,82,17.5955602,439.6022538
415,Contact,1,64,101,34.36277164,372.7509827
416,Contact,1,57,135,42.45299362,237.9372807
417,Contact,1,24,104,34.10841026,104.3835548
418,Contact,1,48,102,23.42698568,327.2449643
419,Contact,1,36,103,33.6468579,282.4814516
420,Contact,1,27,100,3.29621244,242.2361349
421,Contact,1,70,140,16.71445656,348.9852562
422,Contact,1,44,114,31.97602033,136.4851941
423,Contact,1,22,89,22.86319472,282.5144573
424,Contact,1,30,98,39.82172339,237.9784151
425,Contact,1,45,95,30.68254231,412.4328689
426,Contact,1,42,100,31.90778006,374.8807122
427,Contact,1,41,105,26.19822511,281.4831739
428,Contact,1,38,104,32.88582444,382.2941171
429,Contact,1,20,101,44.62771039,444.1370673
430,Contact,1,35,105,32.98071853,148.371641
431,Contact,1,28,108,46.32508103,-251.4326262
432,Contact,1,28,90,31.23395133,237.8665246
433,Contact,1,31,105,33.45791502,429.4460769
434,Contact,1,65,104,32.06010422,209.7586956
435,Contact,1,39,119,27.0386186,339.421836
436,Contact,1,69,105,26.77407172,414.257689
437,Contact,1,25,96,30.07153542,-37.59438949
438,Contact,1,63,98,20.72435917,374.2410136
439,Contact,1,32,104,52.02228814,204.8509518
440,Contact,1,37,106,18.69039898,336.6147856
441,Contact,1,46,100,32.66211856,172.388707
442,Contact,1,13,73,16.35091029,518.7883502
443,Contact,1,64,123,36.21357512,430.4452628
444,Contact,1,5,103,45.31159079,259.8120453
445,Contact,1,38,96,32.14958386,458.6077672
446,Contact,1,27,111,42.47814554,469.7972891
447,Contact,1,34,97,16.12382089,495.2822512
448,Contact,1,28,91,30.26108112,206.912147
449,Contact,1,21,57,36.26428761,79.16338804
450,Contact,1,23,102,37.83030767,469.5122279
451,Contact,1,24,105,22.15029432,373.2380691
452,Contact,1,24,83,7.84245907,153.7695965
453,Contact,1,48,91,24.93922494,346.3874244
454,Contact,1,33,85,51.09225344,24.00639929
455,Contact,1,60,99,32.21785693,117.5181464
456,Contact,1,65,90,36.22614565,216.2341406
457,Contact,1,44,114,42.68951971,377.0656612
458,Contact,1,52,99,49.68066714,124.3143244
459,Contact,1,39,69,33.40782005,435.4314294
460,Contact,1,43,113,51.37971043,253.8631059
461,Contact,1,33,91,28.3325158,487.5520121
462,Contact,1,36,104,42.85022176,128.6632836
463,Contact,1,14,114,41.57972047,336.8121424
464,Contact,1,52,106,13.24723336,387.0823984
465,Contact,1,31,113,36.5706283,333.0262351
466,Contact,1,74,87,10.73274239,191.0429863
467,Contact,1,69,93,27.70979617,588.4258682
468,Contact,1,41,94,46.97584219,251.5382154
469,Contact,1,38,97,23.72249131,176.6023232
470,Contact,1,41,83,26.13657284,355.3882013
471,Contact,1,63,117,47.1339953,153.4987582
472,Contact,1,33,91,26.72320674,179.5536298
473,Contact,1,52,108,14.8551732,326.2494411
474,Contact,1,59,114,17.67726123,382.953051
475,Contact,1,29,90,38.87407068,245.3469485
476,Contact,1,45,110,32.03629561,271.3861612
477,Contact,1,24,103,31.25091809,276.0122119
478,Contact,1,34,99,26.82730175,322.4361034
479,Contact,1,8,100,13.44637136,206.1585629
480,Contact,1,24,122,19.95402385,612.5198695
481,Contact,1,64,92,27.84596565,142.2812093
482,Contact,1,32,119,25.26383811,430.7469628
483,Contact,1,49,128,24.98179802,203.293753
484,Contact,1,36,113,6.46322043,308.982501
485,Contact,1,29,91,20.33886095,330.8378083
486,Contact,1,12,106,28.19878639,200.6193994
487,Contact,1,25,108,31.77061122,198.7759328
488,Contact,1,68,67,43.24990985,292.8382643
489,Contact,1,33,124,20.60832552,214.1753606
490,Contact,1,19,86,27.15512022,272.6178402
491,Contact,1,55,87,37.65465994,308.3463991
492,Contact,1,66,122,37.54757862,152.5270735
493,Contact,1,22,93,41.39059261,133.20487
494,Contact,1,37,127,39.10257744,345.1915085
495,Contact,1,27,95,40.26313323,247.5342307
496,Contact,1,65,101,49.97462126,536.5532378
497,Contact,1,61,97,34.26367192,311.610233
498,Contact,1,49,95,32.33946745,578.8988637
499,Contact,1,31,108,28.45105722,159.1249884
500,Contact,1,54,106,13.71699907,137.4833757
501,Contact,1,58,90,36.58759779,192.7172351
502,Contact,1,40,112,8.65920268,63.05635689
503,Contact,1,48,91,30.2508598,561.465346
504,Contact,1,44,86,29.09094376,446.0750402
505,Contact,1,81,93,29.35044063,413.9607661
506,Contact,1,30,102,20.77715601,264.0749674
507,Contact,1,50,87,22.09841056,193.7844744
508,Contact,1,45,108,33.47215446,102.7702728
509,Contact,1,49,94,23.0589243,444.1595978
510,Contact,1,56,118,22.17452971,200.8182527
511,Contact,1,75,110,42.16816376,164.7577348
512,Contact,1,30,105,35.31950419,226.9766203
513,Contact,1,57,109,25.47004299,81.61814075
514,Contact,1,48,91,26.75324205,125.8256795
515,Contact,1,42,97,34.55353025,335.8618018
516,Contact,1,51,93,25.0510364,279.0707758
517,Contact,1,46,105,13.83386056,414.3862078
518,Contact,1,57,132,31.89595289,193.2130881
519,Contact,1,37,76,41.15261339,597.9454277
520,Contact,1,23,93,19.25090858,308.5680683
521,Contact,1,89,102,28.0050699,196.7317223
522,Contact,1,41,115,41.04763921,351.8671276
523,Contact,1,48,69,19.39104334,390.0391817
524,Contact,1,45,101,26.55658718,163.1406714
525,Contact,1,38,103,18.55802404,342.7874855
526,Contact,1,35,100,29.98362002,95.30601019
527,Contact,1,32,85,54.67349537,90.35163694
528,Contact,1,24,98,58.81678262,211.4491148
529,Contact,1,47,108,16.64114153,308.3405216
530,Contact,1,56,78,18.04370875,370.3550904
531,Contact,1,46,105,19.6270893,864.2611704
532,Contact,1,26,107,16.2073815,242.4468577
533,Contact,1,35,124,36.55462176,426.1352506
534,Contact,1,35,99,21.66342294,282.9881089
535,Contact,1,52,100,22.91000702,467.2408681
536,Contact,1,49,103,37.83428855,422.8319403
537,Contact,1,53,107,61.65153908,115.4660845
538,Contact,1,66,119,24.14368316,392.9240294
539,Contact,1,24,115,40.02545769,490.318499
540,Contact,1,42,103,39.4301456,445.4334092
541,Contact,1,32,129,21.07917101,30.39798518
542,Contact,1,42,113,24.36528247,323.600023
543,Contact,1,31,108,17.16145798,179.3696449
544,Contact,1,35,87,31.9990666,350.7780343
545,Contact,1,40,114,20.88738937,-1.95229793
546,Contact,1,50,71,29.62753876,476.7961562
547,Contact,1,25,87,12.83853537,163.6981052
548,Contact,1,45,93,37.86981299,244.3493426
549,Contact,1,54,95,44.28603074,542.6606366
550,Contact,1,40,91,21.40620025,374.3766692
551,Contact,1,34,63,26.99633336,261.4764793
552,Contact,1,28,110,41.83682973,350.2434695
553,Contact,1,32,95,41.19416647,359.0733602
554,Contact,1,57,91,21.78603049,528.2996818
555,Contact,1,14,79,42.02709285,203.1899421
556,Contact,1,29,94,41.01532763,180.9810347
557,Contact,1,31,91,51.32047096,295.6935154
558,Contact,1,27,108,21.37762236,50.78653204
559,Contact,1,60,125,40.05985407,108.1279513
560,Contact,1,44,112,45.60086976,376.7698244
561,Contact,1,35,99,42.57600954,332.6369054
562,Contact,1,37,68,28.26530248,392.5987332
563,Contact,1,29,89,31.2173033,177.8951013
564,Contact,1,66,106,31.77040431,202.9120384
565,Contact,1,69,97,40.55896346,301.5759125
566,Contact,1,35,92,11.5655825,417.3957287
567,Contact,1,39,101,31.84963142,215.6719337
568,Contact,1,65,79,33.54818507,53.91427866
569,Contact,1,42,91,20.96186486,468.4532856
570,Contact,1,36,116,34.48486768,266.4285522
571,Contact,1,32,102,40.24854984,223.1700448
572,Contact,1,28,95,23.46905104,359.0001912
573,Contact,1,41,108,7.87947562,136.9249041
574,Contact,1,32,85,44.96712104,145.1684471
575,Contact,1,49,103,10.59524145,490.463662
576,Contact,1,50,103,41.53547475,-8.2834206
577,Contact,1,31,84,28.44014726,402.2641795
578,Contact,1,57,106,25.821758,218.2090066
579,Contact,1,68,114,44.9081686,41.09192872
580,Contact,1,31,94,19.23670738,403.4364768
581,Contact,1,24,86,18.74276682,289.3651681
