County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Tompkins,50,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",593,101689,Average annual population,Rate,194.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",12493,1439971,Average annual population,Rate,289.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Chemung,7,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",885,88667,Average annual population,Rate,332.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",487,64445,Average annual population,Rate,251.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",5766,741224,Average annual population,Rate,259.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",935,107369,Average annual population,Rate,290.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",204,18475,Average annual population,Rate,368.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",274,34833,Average annual population,Rate,262.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",943,98192,Average annual population,Rate,320.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",721,92833,Average annual population,Rate,258.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",223,25095,Average annual population,Rate,296.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.634338, -77.078311)"
Finger Lakes,102,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",10438,1271131,Average annual population,Rate,273.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Dutchess,13,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",2293,296350,Average annual population,Rate,257.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.686216, -73.840468)"
Orange,33,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",2396,377072,Average annual population,Rate,211.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.422459, -74.241929)"
Putnam,37,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",707,99636,Average annual population,Rate,236.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.41131, -73.717443)"
Rockland,39,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",2305,309006,Average annual population,Rate,248.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.127287, -74.017033)"
Sullivan,48,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",709,76758,Average annual population,Rate,307.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(41.705166, -74.711705)"
Ulster,51,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",1520,182127,Average annual population,Rate,278.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.848374, -74.099412)"
Westchester,55,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",7449,953658,Average annual population,Rate,260.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(41.039278, -73.805386)"
Hudson Valley,106,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",17379,2294607,Average annual population,Rate,252.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau,28,Nassau-Suffolk,d1,"Cardiovascular disease mortality rate per 100,000",14166,1347132,Average annual population,Rate,350.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(40.715749, -73.601185)"
Suffolk,47,Nassau-Suffolk,d1,"Cardiovascular disease mortality rate per 100,000",11956,1503547,Average annual population,Rate,265.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(40.820237, -73.119032)"
Nassau-Suffolk,108,Nassau-Suffolk,d1,"Cardiovascular disease mortality rate per 100,000",26122,2850679,Average annual population,Rate,305.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Bronx,58,New York City,d1,"Cardiovascular disease mortality rate per 100,000",10056,1391466,Average annual population,Rate,240.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(40.85589, -73.868294)"
Kings,59,New York City,d1,"Cardiovascular disease mortality rate per 100,000",19966,2534814,Average annual population,Rate,262.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(40.65642, -73.950691)"
New York,60,New York City,d1,"Cardiovascular disease mortality rate per 100,000",10816,1605625,Average annual population,Rate,224.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(40.726966, -74.005966)"
Queens,61,New York City,d1,"Cardiovascular disease mortality rate per 100,000",18237,2261761,Average annual population,Rate,268.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(40.749338, -73.789673)"
Richmond,62,New York City,d1,"Cardiovascular disease mortality rate per 100,000",4531,476976,Average annual population,Rate,316.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(40.566763, -74.148102)"
New York City,107,New York City,d1,"Cardiovascular disease mortality rate per 100,000",63606,8270641,Average annual population,Rate,256.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Broome,3,New York-Penn,d1,"Cardiovascular disease mortality rate per 100,000",2268,198087,Average annual population,Rate,381.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,d1,"Cardiovascular disease mortality rate per 100,000",697,50405,Average annual population,Rate,460.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.481798, -75.570013)"
Tioga,49,New York-Penn,d1,"Cardiovascular disease mortality rate per 100,000",364,50744,Average annual population,Rate,239.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.120252, -76.29595)"
New York-Penn,104,New York-Penn,d1,"Cardiovascular disease mortality rate per 100,000",3329,299236,Average annual population,Rate,370.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d1,"Cardiovascular disease mortality rate per 100,000",164204,19461584,Average annual population,Rate,281.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Albany,1,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",2669,302018,Average annual population,Rate,294.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.678066, -73.814233)"
Clinton,9,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",562,81897,Average annual population,Rate,228.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(44.731944, -73.548883)"
Columbia,10,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",715,62421,Average annual population,Rate,381.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.276913, -73.682168)"
Delaware,12,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",646,47018,Average annual population,Rate,458,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.242972, -74.997944)"
Essex,15,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",347,38746,Average annual population,Rate,298.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(44.166026, -73.685145)"
Franklin,16,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",478,51141,Average annual population,Rate,311.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(44.705699, -74.340621)"
Fulton,17,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",620,55255,Average annual population,Rate,374,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.06014, -74.331296)"
Greene,19,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",510,49041,Average annual population,Rate,346.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.298326, -73.973376)"
Hamilton,20,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",58,4851,Average annual population,Rate,398.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.618468, -74.395268)"
Montgomery,27,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",694,49584,Average annual population,Rate,466.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.933637, -74.341972)"
Otsego,36,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",618,61926,Average annual population,Rate,332.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.564852, -75.060334)"
Rensselaer,38,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",1547,158122,Average annual population,Rate,326.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.70098, -73.628669)"
Saratoga,41,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",1664,220186,Average annual population,Rate,251.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.00894, -73.786779)"
Schenectady,42,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",1547,153985,Average annual population,Rate,334.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.809233, -73.946838)"
Schoharie,43,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",265,32285,Average annual population,Rate,273.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.643426, -74.434606)"
Warren,52,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",580,65853,Average annual population,Rate,293.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.403024, -73.716044)"
Washington,53,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",530,63045,Average annual population,Rate,280.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.289513, -73.454761)"
Northeastern New York,105,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",14050,1497372,Average annual population,Rate,312.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Allegany,2,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",461,48960,Average annual population,Rate,313.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.226801, -78.020567)"
Cattaraugus,4,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",1070,79946,Average annual population,Rate,446.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.224267, -78.606673)"
Chautauqua,6,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",1525,134259,Average annual population,Rate,378.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.246904, -79.315313)"
Erie,14,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",9641,915438,Average annual population,Rate,351.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(42.888143, -78.795544)"
Genesee,18,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",606,59313,Average annual population,Rate,340.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(43.000121, -78.172679)"
Niagara,29,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",2688,215679,Average annual population,Rate,415.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.134634, -78.856419)"
Orleans,34,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",449,42519,Average annual population,Rate,352,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.248394, -78.218438)"
Wyoming,56,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",347,41832,Average annual population,Rate,276.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.723641, -78.204473)"
Western New York,101,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",16787,1537947,Average annual population,Rate,363.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Cayuga,5,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",116,79763,Average annual population,Rate,48.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(42.940095, -76.560755)"
Cortland,11,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",67,48898,Average annual population,Rate,45.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(42.597101, -76.143291)"
Herkimer,21,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",88,63638,Average annual population,Rate,46.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(43.070026, -74.994246)"
Jefferson,22,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",185,117619,Average annual population,Rate,52.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(44.019295, -75.898971)"
Lewis,23,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",47,26772,Average annual population,Rate,58.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(43.785537, -75.446296)"
Madison,25,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",101,72254,Average annual population,Rate,46.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(42.986917, -75.720031)"
Oneida,30,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",371,233403,Average annual population,Rate,53,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(43.149482, -75.361773)"
Onondaga,31,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",625,462913,Average annual population,Rate,45,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(43.065629, -76.168033)"
Oswego,35,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",144,121905,Average annual population,Rate,39.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",131,111116,Average annual population,Rate,39.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(44.689468, -75.242045)"
Tompkins,50,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",99,101689,Average annual population,Rate,32.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1974,1439971,Average annual population,Rate,45.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Chemung,7,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",148,88667,Average annual population,Rate,55.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",88,64445,Average annual population,Rate,45.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1001,741224,Average annual population,Rate,45,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",167,107369,Average annual population,Rate,51.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",28,18475,Average annual population,Rate,50.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",45,34833,Average annual population,Rate,43.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",129,98192,Average annual population,Rate,43.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",108,92833,Average annual population,Rate,38.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",35,25095,Average annual population,Rate,46.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",44.2 - < 48.5 : Q3,2,"(42.634338, -77.078311)"
Finger Lakes,102,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1749,1271131,Average annual population,Rate,45.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Dutchess,13,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",270,296350,Average annual population,Rate,30.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.686216, -73.840468)"
Orange,33,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",285,377072,Average annual population,Rate,25.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.422459, -74.241929)"
Putnam,37,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",87,99636,Average annual population,Rate,29.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.41131, -73.717443)"
Rockland,39,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",246,309006,Average annual population,Rate,26.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.127287, -74.017033)"
Sullivan,48,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",75,76758,Average annual population,Rate,32.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.705166, -74.711705)"
Ulster,51,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",194,182127,Average annual population,Rate,35.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.848374, -74.099412)"
Westchester,55,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",913,953658,Average annual population,Rate,31.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(41.039278, -73.805386)"
Hudson Valley,106,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",2070,2294607,Average annual population,Rate,30.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau,28,Nassau-Suffolk,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1225,1347132,Average annual population,Rate,30.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.715749, -73.601185)"
Suffolk,47,Nassau-Suffolk,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1316,1503547,Average annual population,Rate,29.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.820237, -73.119032)"
Nassau-Suffolk,108,Nassau-Suffolk,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",2541,2850679,Average annual population,Rate,29.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Bronx,58,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",783,1391466,Average annual population,Rate,18.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.85589, -73.868294)"
Kings,59,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1420,2534814,Average annual population,Rate,18.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.65642, -73.950691)"
New York,60,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1062,1605625,Average annual population,Rate,22,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.726966, -74.005966)"
Queens,61,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1375,2261761,Average annual population,Rate,20.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.749338, -73.789673)"
Richmond,62,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",241,476976,Average annual population,Rate,16.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(40.566763, -74.148102)"
New York City,107,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",4881,8270641,Average annual population,Rate,19.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Broome,3,New York-Penn,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",368,198087,Average annual population,Rate,61.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",77,50405,Average annual population,Rate,50.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",48.5 + : Q4,3,"(42.481798, -75.570013)"
Tioga,49,New York-Penn,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",52,50744,Average annual population,Rate,34.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 44.2 : Q1 & Q2,1,"(42.120252, -76.29595)"
